PROVINCE_NAME,TYPE,PROVINCE_CODE,DISTRICT_NAME,TYPE_1,DISTRICT_CODE,WARD_NAME,TYPE_2,WARD_CODE
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Phúc Xá,Phường,00001
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Trúc Bạch,Phường,00004
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Vĩnh Phúc,Phường,00006
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Cống Vị,Phường,00007
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Liễu Giai,Phường,00008
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Nguyễn Trung Trực,Phường,00010
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Quán Thánh,Phường,00013
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Ngọc Hà,Phường,00016
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Điện Biên,Phường,00019
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Đội Cấn,Phường,00022
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Ngọc Khánh,Phường,00025
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Kim Mã,Phường,00028
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Giảng Võ,Phường,00031
Hà Nội,Thành phố,01,Ba Đình,Quận,001,Thành Công,Phường,00034
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Phúc Tân,Phường,00037
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Đồng Xuân,Phường,00040
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Mã,Phường,00043
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Buồm,Phường,00046
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Đào,Phường,00049
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Bồ,Phường,00052
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Cửa Đông,Phường,00055
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Lý Thái Tổ,Phường,00058
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Bạc,Phường,00061
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Gai,Phường,00064
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Chương Dương,Phường,00067
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Trống,Phường,00070
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Cửa Nam,Phường,00073
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Bông,Phường,00076
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Tràng Tiền,Phường,00079
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Trần Hưng Đạo,Phường,00082
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Phan Chu Trinh,Phường,00085
Hà Nội,Thành phố,01,Hoàn Kiếm,Quận,002,Hàng Bài,Phường,00088
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Phú Thượng,Phường,00091
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Nhật Tân,Phường,00094
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Tứ Liên,Phường,00097
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Quảng An,Phường,00100
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Xuân La,Phường,00103
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Yên Phụ,Phường,00106
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Bưởi,Phường,00109
Hà Nội,Thành phố,01,Tây Hồ,Quận,003,Thụy Khuê,Phường,00112
Hà Nội,Thành phố,01,Long Biên,Quận,004,Thượng Thanh,Phường,00115
Hà Nội,Thành phố,01,Long Biên,Quận,004,Ngọc Thụy,Phường,00118
Hà Nội,Thành phố,01,Long Biên,Quận,004,Giang Biên,Phường,00121
Hà Nội,Thành phố,01,Long Biên,Quận,004,Đức Giang,Phường,00124
Hà Nội,Thành phố,01,Long Biên,Quận,004,Việt Hưng,Phường,00127
Hà Nội,Thành phố,01,Long Biên,Quận,004,Gia Thụy,Phường,00130
Hà Nội,Thành phố,01,Long Biên,Quận,004,Ngọc Lâm,Phường,00133
Hà Nội,Thành phố,01,Long Biên,Quận,004,Phúc Lợi,Phường,00136
Hà Nội,Thành phố,01,Long Biên,Quận,004,Bồ Đề,Phường,00139
Hà Nội,Thành phố,01,Long Biên,Quận,004,Sài Đồng,Phường,00142
Hà Nội,Thành phố,01,Long Biên,Quận,004,Long Biên,Phường,00145
Hà Nội,Thành phố,01,Long Biên,Quận,004,Thạch Bàn,Phường,00148
Hà Nội,Thành phố,01,Long Biên,Quận,004,Phúc Đồng,Phường,00151
Hà Nội,Thành phố,01,Long Biên,Quận,004,Cự Khối,Phường,00154
